K	ADVFM_AVG	ADVFM_NEW-OLD	ADVFM_behind	ADVFM_in	ADVFM_near	ADVFM_on	ADVFM_under	FM	FMS	PT	SYNTH	ID
0	59.988	99.88	100.0	0.12	99.89	0.0	99.93	89.73	89.55	69.53	70.31	1372
0	60.25	98.05	99.12	1.99	99.51	0.85	99.78	88.38	89.83	72.89	76.56	1048
64	69.442	68.99	97.15	1.4	95.73	54.69	98.24	87.24	89.04	73.45	59.38	1063
0	60.0	100.0	100.0	0.0	100.0	0.0	100.0	89.0	89.0	56.94	46.88	1772
0	60.0	100.0	100.0	0.0	100.0	0.0	100.0	88.11	88.47	57.89	54.69	1320
64	60.0	100.0	100.0	0.0	100.0	0.0	100.0	88.34	88.94	55.6	53.12	2049
64	60.0	100.0	100.0	0.0	100.0	0.0	100.0	88.89	89.28	56.77	53.12	2565
0	60.0	100.0	100.0	0.0	100.0	0.0	100.0	88.54	88.11	57.95	51.56	2066
64	71.134	61.51	95.81	11.81	93.9	56.64	97.51	84.84	84.59	67.68	64.06	2014
64	60.0	100.0	100.0	0.0	100.0	0.0	100.0	88.71	88.82	58.79	56.25	1590
64	60.0	100.0	100.0	0.0	100.0	0.0	100.0	89.84	89.43	58.76	32.81	2267
0	74.914	27.23	85.22	52.28	83.41	64.88	88.78	78.52	73.86	66.62	48.44	1349
64	60.0	100.0	100.0	0.0	100.0	0.0	100.0	88.84	88.87	59.37	73.44	1343
0	70.374	43.68	89.65	45.96	79.9	42.37	93.99	82.28	82.55	74.76	64.06	1029
0	60.0	100.0	100.0	0.0	100.0	0.0	100.0	88.79	89.15	58.81	50.0	1599
0	60.0	100.0	100.0	0.0	100.0	0.0	100.0	88.64	88.57	56.58	65.62	2111
